,id,name,seller_type,owner,engine
0,1,Maruti Swift Dzire VDI,Individual,First Owner,1248 CC
1,2,Skoda Rapid 1.5 TDI Ambition,Individual,Second Owner,1498 CC
2,3,Honda City 2017-2020 EXi,Individual,Third Owner,1497 CC
3,4,Hyundai i20 Sportz Diesel,Individual,First Owner,1396 CC
4,5,Maruti Swift VXI BSIII,Individual,First Owner,1298 CC
5,6,Hyundai Xcent 1.2 VTVT E Plus,Individual,First Owner,1197 CC
6,7,Maruti Wagon R LXI DUO BSIII,Individual,First Owner,1061 CC
7,8,Maruti 800 DX BSII,Individual,Second Owner,796 CC
8,9,Toyota Etios VXD,Individual,First Owner,1364 CC
9,10,Ford Figo Diesel Celebration Edition,Individual,First Owner,1399 CC
10,11,Renault Duster 110PS Diesel RxL,Individual,Second Owner,1461 CC
11,12,Maruti Zen LX,Individual,Second Owner,993 CC
12,13,Maruti Swift Dzire VDi,Individual,Second Owner,1248 CC
13,14,Maruti Swift 1.3 VXi,Individual,Second Owner,
14,15,Maruti Wagon R LXI Minor,Individual,Second Owner,1061 CC
15,16,Mahindra KUV 100 mFALCON G80 K8 5str,Individual,First Owner,1198 CC
16,17,Maruti Ertiga SHVS VDI,Individual,Second Owner,1248 CC
17,18,Hyundai i20 1.4 CRDi Asta,Individual,Second Owner,1396 CC
18,19,Maruti Alto LX,Individual,Second Owner,796 CC
19,20,Hyundai i20 2015-2017 Asta 1.4 CRDi,Individual,First Owner,1396 CC
20,21,Mahindra Verito 1.5 D4 BSIII,Individual,Second Owner,1461 CC
21,22,Honda WR-V i-DTEC VX,Individual,First Owner,1498 CC
22,23,Maruti Swift Dzire ZDI,Individual,First Owner,1248 CC
23,24,Maruti SX4 ZDI,Individual,First Owner,1248 CC
24,25,Tata Tigor 2017-2020 XZ,Individual,First Owner,1199 CC
25,26,Maruti Baleno Delta 1.2,Individual,First Owner,1197 CC
26,27,Maruti Alto 800 LXI,Individual,First Owner,796 CC
27,28,Chevrolet Enjoy TCDi LTZ 7 Seater,Individual,First Owner,1248 CC
28,29,Maruti Wagon R LXI Minor,Individual,First Owner,1061 CC
29,30,Maruti Omni E MPI STD BS IV,Individual,First Owner,796 CC
30,31,Maruti Vitara Brezza LDi Option,Individual,First Owner,1248 CC
31,32,Fiat Palio 1.2 ELX,Individual,Second Owner,
32,33,Maruti Omni 8 Seater BSIV,Individual,Second Owner,796 CC
33,34,Hyundai i20 1.2 Asta Dual Tone,Individual,First Owner,1197 CC
34,35,Maruti Vitara Brezza LDi,Individual,First Owner,1248 CC
35,36,Maruti Alto 800 CNG LXI Optional,Individual,Second Owner,796 CC
36,37,Maruti Alto K10 VXI Airbag,Individual,First Owner,998 CC
37,38,Hyundai Verna VTVT 1.6 SX Option,Individual,First Owner,1591 CC
38,39,Datsun GO D,Individual,First Owner,1198 CC
39,40,Tata Safari DICOR 2.2 LX 4x2,Individual,Second Owner,2179 CC
40,41,Maruti 800 Std,Individual,First Owner,796 CC
41,42,Jeep Compass 1.4 Limited Plus BSIV,Individual,First Owner,1368 CC
42,43,Honda City i VTEC VX,Dealer,First Owner,1497 CC
