,id,name,year,selling_price,seats
6908,6909,Chevrolet Beat Diesel LT,2013,145000,5.0
6909,6910,Chevrolet Sail Hatchback 1.2,2014,300000,5.0
6910,6911,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2010,180000,
6911,6912,Hyundai Accent GLE,2009,180000,5.0
6912,6913,Mahindra Bolero GLX,2006,200000,
6913,6914,Maruti Swift Dzire VDI,2013,530000,5.0
6914,6915,Renault Duster 110PS Diesel RxL,2014,620000,5.0
6915,6916,Toyota Etios G,2015,360000,5.0
6916,6917,Hyundai Santro Xing GLS,2010,245000,5.0
6917,6918,Maruti Swift VDI BSIV,2009,370000,
6918,6919,Ford Ikon 1.6 Really Sport,2003,130000,5.0
6919,6920,Maruti Esteem LX - BSIII,1999,70000,5.0
6920,6921,Maruti Esteem LX - BSIII,1999,70000,5.0
6921,6922,Ford Fiesta 1.5 TDCi Titanium,2014,650000,5.0
6922,6923,Maruti Swift VXI,2019,610000,5.0
6923,6924,Maruti Alto K10 VXI,2015,300000,5.0
6924,6925,Hyundai Grand i10 CRDi Magna,2014,425000,5.0
6925,6926,Hyundai Verna 1.6 SX CRDi (O),2012,450000,5.0
6926,6927,Hyundai Verna 1.6 CRDI,2011,450000,5.0
6927,6928,Hyundai i10 Sportz AT,2011,340000,5.0
6928,6929,Maruti Ertiga LDI Option,2013,650000,7.0
6929,6930,Tata Indigo CS LS (TDI) BS III,2009,160000,5.0
6930,6931,Tata Indica Vista TDI LS,2014,250000,5.0
6931,6932,Chevrolet Beat Diesel LT,2012,225000,5.0
6932,6933,Tata Indica V2 2001-2011 DLS BSIII,2007,55000,5.0
6933,6934,Maruti 800 AC,1996,42000,4.0
6934,6935,Tata Indica Vista Aqua 1.3 Quadrajet (ABS),2012,250000,
6935,6936,Hyundai Tucson CRDi,2006,282000,7.0
6936,6937,Tata Indica V2 DLS TC,2007,80000,5.0
6937,6938,Maruti Swift Dzire VXI,2016,500000,5.0
6938,6939,Ford Figo Aspire 1.5 TDCi Ambiente,2016,500000,5.0
6939,6940,Maruti Swift VDI,2011,400000,5.0
6940,6941,Mahindra Bolero 2011-2019 SLX,2013,550000,7.0
6941,6942,Tata New Safari Dicor LX 4X2 BS IV,2007,200000,7.0
6942,6943,Hyundai i10 Sportz,2012,280000,5.0
6943,6944,Maruti Swift Dzire VDI,2014,580000,5.0
6944,6945,Tata Manza Aura (ABS) Quadrajet,2009,100000,5.0
6945,6946,Mahindra Scorpio EX,2014,550000,8.0
6946,6947,Mahindra TUV 300 T4 Plus,2017,700000,7.0
6947,6948,Tata Manza Aqua Safire,2010,150000,5.0
6948,6949,Hyundai EON Magna Plus,2014,190000,5.0
6949,6950,Mahindra Bolero 2011-2019 SLE,2013,500000,7.0
6950,6951,Maruti Swift VDI BSIV,2017,640000,5.0
6951,6952,Skoda Fabia 1.2L Diesel Elegance,2011,340000,5.0
6952,6953,Hyundai Elite i20 Asta Option Diesel,2019,811000,5.0
6953,6954,Maruti Ritz LDi,2016,409999,5.0
6954,6955,Maruti Swift Lxi BSIII,2007,220000,5.0
6955,6956,Tata Indica V2 DLS BSIII,2013,170000,5.0
6956,6957,Hyundai Elite i20 Petrol Asta Option,2018,700000,5.0
6957,6958,Mahindra Scorpio S10 4WD,2015,950000,7.0
6958,6959,Hyundai Accent GLS 1.6 ABS,2003,80000,5.0
6959,6960,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2711000,5.0
6960,6961,Lexus ES 300h,2019,5150000,5.0
6961,6962,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,5.0
6962,6963,Tata Safari Storme EX,2015,503000,7.0
6963,6964,Volvo XC40 D4 Inscription BSIV,2019,3800000,5.0
6964,6965,Toyota Camry 2.5 Hybrid,2016,2000000,5.0
6965,6966,Maruti Wagon R LXI,2013,225000,5.0
6966,6967,Maruti Baleno Alpha 1.3,2018,740000,5.0
6967,6968,Honda Jazz VX,2016,550000,5.0
6968,6969,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,7.0
6969,6970,Maruti Swift AMT VVT VXI,2019,650000,5.0
6970,6971,Toyota Etios VX,2017,625000,5.0
6971,6972,Maruti Swift AMT ZXI,2018,600000,5.0
6972,6973,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,5.0
6973,6974,BMW X4 M Sport X xDrive20d,2019,5400000,5.0
6974,6975,BMW X4 M Sport X xDrive20d,2019,5500000,5.0
6975,6976,Honda Amaze V CVT Petrol BSIV,2019,779000,5.0
6976,6977,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,5.0
6977,6978,Volvo V40 D3 R-Design,2018,2475000,5.0
6978,6979,Maruti Swift Dzire VDI,2014,420000,5.0
6979,6980,Maruti S-Cross 2017-2020 Zeta DDiS 200 SH,2018,899000,5.0
6980,6981,Datsun GO T Petrol,2019,459999,5.0
6981,6982,Hyundai Verna CRDi SX ABS,2008,150000,5.0
6982,6983,Renault KWID 1.0 RXT Optional,2017,350000,5.0
6983,6984,Toyota Etios GD,2015,509999,5.0
6984,6985,Mahindra Bolero 2011-2019 Plus Non AC,2013,500000,9.0
6985,6986,Tata Zest Revotron 1.2 XT,2017,370000,5.0
6986,6987,Maruti Alto K10 2010-2014 VXI,2013,240000,5.0
6987,6988,Hyundai i20 Asta 1.4 CRDi,2015,530000,5.0
6988,6989,Mahindra Scorpio S10 7 Seater,2015,1000000,7.0
6989,6990,Toyota Innova Crysta 2.4 VX MT BSIV,2018,1600000,7.0
6990,6991,Hyundai i10 Sportz,2014,350000,5.0
